,worker_id,complexity,source,disclose_source,trust
308,36747744,-1,3,1,-1
311,21678835,1,1,1,0
312,21678835,1,1,1,0
313,21678835,-1,3,1,0
315,27770607,-1,3,1,1
317,27770607,-1,3,1,0
319,27770607,1,2,1,1
320,36187807,-1,3,1,0
322,36187807,-1,3,1,0
324,36187807,1,2,1,0
325,36461899,-1,3,1,1
327,36461899,-1,3,1,1
329,36461899,1,2,1,1
330,36761089,-1,1,1,1
331,36761089,-1,3,1,1
332,36761089,1,4,1,1
333,36761089,-1,1,1,1
335,36313064,-1,1,1,1
336,36313064,-1,3,1,1
337,36313064,1,4,1,1
338,36313064,-1,1,1,0
340,2034278,-1,1,1,1
341,2034278,-1,3,1,1
342,2034278,1,4,1,1
343,2034278,-1,1,1,1
348,33245009,1,2,1,0
349,33245009,-1,3,1,0
353,31906954,1,2,1,1
354,31906954,-1,3,1,0
358,34938843,1,2,1,2
359,34938843,-1,3,1,2
