worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,clinton,14.2,1,1,2.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,cruz,11.8,1,1,1.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,sanders,14.1,1,2,2.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,sanders,8.0,0,0,0.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,clinton,7.5,0,0,-1.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,trump,11.7,1,-1,-1.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,cruz,7.9,0,1,1.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,trump,5.8,0,2,2.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,clinton,14.2,1,0,-1.0
36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,11.8,1,1,1.0
36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,14.1,1,0,2.0
36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,8.0,0,1,2.0
36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,7.5,0,1,1.0
36939273,male,18-29,republican,trump,TX,the Associated Press,trump,11.7,1,1,2.0
36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,7.9,0,0,0.0
36939273,male,18-29,republican,trump,TX,the Associated Press,trump,5.8,0,1,1.0
36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,14.2,1,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,11.8,1,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,14.1,1,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,8.0,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,7.5,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,11.7,1,1,1.0
