,worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust,match
245,33866252,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,0,0.0,-1
246,33866252,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,-1.0,-1
247,33866252,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0,-1
256,36761089,female,18-29,democrat,clinton,TX,CNN,cruz,11.8,1,1,2.0,1
257,36761089,female,18-29,democrat,clinton,TX,CNN,sanders,14.1,1,1,2.0,1
258,36761089,female,18-29,democrat,clinton,TX,CNN,sanders,8.0,0,-1,2.0,1
259,36761089,female,18-29,democrat,clinton,TX,CNN,clinton,7.5,0,1,2.0,1
260,36761089,female,18-29,democrat,clinton,TX,CNN,trump,11.7,1,2,2.0,1
261,36761089,female,18-29,democrat,clinton,TX,CNN,cruz,7.9,0,0,1.0,1
262,36761089,female,18-29,democrat,clinton,TX,CNN,trump,5.8,0,0,0.0,1
263,36761089,female,18-29,democrat,clinton,TX,CNN,clinton,14.2,1,2,2.0,1
264,36807032,male,18-29,republican,cruz,TX,CNN,cruz,11.8,1,1,2.0,0
265,36807032,male,18-29,republican,cruz,TX,CNN,sanders,14.1,1,1,0.0,0
266,36807032,male,18-29,republican,cruz,TX,CNN,sanders,8.0,0,2,2.0,0
267,36807032,male,18-29,republican,cruz,TX,CNN,clinton,7.5,0,1,0.0,0
268,36807032,male,18-29,republican,cruz,TX,CNN,trump,11.7,1,-1,1.0,0
269,36807032,male,18-29,republican,cruz,TX,CNN,cruz,7.9,0,1,0.0,0
270,36807032,male,18-29,republican,cruz,TX,CNN,trump,5.8,0,-1,0.0,0
271,36807032,male,18-29,republican,cruz,TX,CNN,clinton,14.2,1,2,2.0,0
280,2244758,female,50-64,republican,trump,NC,CNN,cruz,11.8,1,1,0.0,0
281,2244758,female,50-64,republican,trump,NC,CNN,sanders,14.1,1,1,0.0,0
282,2244758,female,50-64,republican,trump,NC,CNN,sanders,8.0,0,-1,0.0,0
283,2244758,female,50-64,republican,trump,NC,CNN,clinton,7.5,0,-1,0.0,0
284,2244758,female,50-64,republican,trump,NC,CNN,trump,11.7,1,1,0.0,0
285,2244758,female,50-64,republican,trump,NC,CNN,cruz,7.9,0,1,0.0,0
286,2244758,female,50-64,republican,trump,NC,CNN,trump,5.8,0,-1,0.0,0
287,2244758,female,50-64,republican,trump,NC,CNN,clinton,14.2,1,-1,0.0,0
296,37356781,other,50-64,democrat,clinton,DE,CNN,cruz,11.8,1,-1,-1.0,1
297,37356781,other,50-64,democrat,clinton,DE,CNN,sanders,14.1,1,-1,0.0,1
298,37356781,other,50-64,democrat,clinton,DE,CNN,sanders,8.0,0,2,-2.0,1
299,37356781,other,50-64,democrat,clinton,DE,CNN,clinton,7.5,0,-2,0.0,1
300,37356781,other,50-64,democrat,clinton,DE,CNN,trump,11.7,1,-2,0.0,1
301,37356781,other,50-64,democrat,clinton,DE,CNN,cruz,7.9,0,2,2.0,1
302,37356781,other,50-64,democrat,clinton,DE,CNN,trump,5.8,0,2,-1.0,1
303,37356781,other,50-64,democrat,clinton,DE,CNN,clinton,14.2,1,1,-1.0,1
304,35818768,male,30-49,democrat,sanders,VA,CNN,cruz,11.8,1,2,2.0,1
305,35818768,male,30-49,democrat,sanders,VA,CNN,sanders,14.1,1,2,2.0,1
306,35818768,male,30-49,democrat,sanders,VA,CNN,sanders,8.0,0,2,2.0,1
307,35818768,male,30-49,democrat,sanders,VA,CNN,clinton,7.5,0,1,2.0,1
308,35818768,male,30-49,democrat,sanders,VA,CNN,trump,11.7,1,1,2.0,1
309,35818768,male,30-49,democrat,sanders,VA,CNN,cruz,7.9,0,2,2.0,1
310,35818768,male,30-49,democrat,sanders,VA,CNN,trump,5.8,0,-1,2.0,1
311,35818768,male,30-49,democrat,sanders,VA,CNN,clinton,14.2,1,2,2.0,1
312,3696575,female,30-49,democrat,not_voting,MS,CNN,cruz,11.8,1,0,-1.0,1
313,3696575,female,30-49,democrat,not_voting,MS,CNN,sanders,14.1,1,1,0.0,1
314,3696575,female,30-49,democrat,not_voting,MS,CNN,sanders,8.0,0,0,-1.0,1
315,3696575,female,30-49,democrat,not_voting,MS,CNN,clinton,7.5,0,1,0.0,1
316,3696575,female,30-49,democrat,not_voting,MS,CNN,trump,11.7,1,0,0.0,1
317,3696575,female,30-49,democrat,not_voting,MS,CNN,cruz,7.9,0,0,0.0,1
318,3696575,female,30-49,democrat,not_voting,MS,CNN,trump,5.8,0,1,1.0,1
319,3696575,female,30-49,democrat,not_voting,MS,CNN,clinton,14.2,1,1,1.0,1
336,10319610,female,30-49,democrat,sanders,OH,CNN,cruz,11.8,1,1,1.0,1
337,10319610,female,30-49,democrat,sanders,OH,CNN,sanders,14.1,1,1,1.0,1
338,10319610,female,30-49,democrat,sanders,OH,CNN,sanders,8.0,0,1,1.0,1
339,10319610,female,30-49,democrat,sanders,OH,CNN,clinton,7.5,0,1,1.0,1
340,10319610,female,30-49,democrat,sanders,OH,CNN,trump,11.7,1,1,1.0,1
341,10319610,female,30-49,democrat,sanders,OH,CNN,cruz,7.9,0,1,1.0,1
342,10319610,female,30-49,democrat,sanders,OH,CNN,trump,5.8,0,1,0.0,1
343,10319610,female,30-49,democrat,sanders,OH,CNN,clinton,14.2,1,1,1.0,1
352,33357546,male,18-29,republican,clinton,VA,CNN,cruz,11.8,1,2,2.0,0
353,33357546,male,18-29,republican,clinton,VA,CNN,sanders,14.1,1,1,1.0,0
354,33357546,male,18-29,republican,clinton,VA,CNN,sanders,8.0,0,1,1.0,0
355,33357546,male,18-29,republican,clinton,VA,CNN,clinton,7.5,0,1,1.0,0
356,33357546,male,18-29,republican,clinton,VA,CNN,trump,11.7,1,1,1.0,0
357,33357546,male,18-29,republican,clinton,VA,CNN,cruz,7.9,0,1,1.0,0
358,33357546,male,18-29,republican,clinton,VA,CNN,trump,5.8,0,1,1.0,0
359,33357546,male,18-29,republican,clinton,VA,CNN,clinton,14.2,1,1,1.0,0
