worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8,0,2,1
33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,0,1
33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1
33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,-1,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,cruz,11.8,1,1,2
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,sanders,14.1,1,1,2
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,sanders,8,0,1,2
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,clinton,7.5,0,2,2
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,trump,11.7,1,1,2
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,cruz,7.9,0,1,2.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
30941227,male,18-29,no_affiliation,sanders,DE,the Associated Press,clinton,14.2,1,1,2
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,cruz,11.8,1,1,1
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,sanders,14.1,1,2,2
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,sanders,8,0,0,0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,clinton,7.5,0,0,-1
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,trump,11.7,1,-1,-1
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,cruz,7.9,0,1,1.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,trump,5.8,0,2,2.0
33467170,male,18-29,no_affiliation,sanders,WV,the Associated Press,clinton,14.2,1,0,-1
36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,11.8,1,1,1
36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,14.1,1,0,2
36939273,male,18-29,republican,trump,TX,the Associated Press,sanders,8,0,1,2
36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,7.5,0,1,1
36939273,male,18-29,republican,trump,TX,the Associated Press,trump,11.7,1,1,2
36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,7.9,0,0,0.0
36939273,male,18-29,republican,trump,TX,the Associated Press,trump,5.8,0,1,1.0
36939273,male,18-29,republican,trump,TX,the Associated Press,clinton,14.2,1,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,11.8,1,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,14.1,1,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,sanders,8,0,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,7.5,0,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,11.7,1,1,1
6579519,female,30-49,democrat,clinton,OH,the Associated Press,cruz,7.9,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,trump,5.8,0,1,1.0
6579519,female,30-49,democrat,clinton,OH,the Associated Press,clinton,14.2,1,1,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8,0,0,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1
33018272,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
33018272,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,0,1
30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2
30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2
30321275,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8,0,1,2
30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,2,1
30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,2
30321275,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,2.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,1.0
30321275,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1
32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,11.8,1,1,2
32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,14.1,1,0,2
32672123,male,30-49,democrat,clinton,CA,the Associated Press,sanders,8,0,0,0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,7.5,0,1,2
32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,11.7,1,1,2
32672123,male,30-49,democrat,clinton,CA,the Associated Press,cruz,7.9,0,1,0.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,trump,5.8,0,1,2.0
32672123,male,30-49,democrat,clinton,CA,the Associated Press,clinton,14.2,1,1,0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,11.8,1,1,1
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,14.1,1,2,2
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,sanders,8,0,1,1
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,7.5,0,1,1
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,11.7,1,1,1
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,cruz,7.9,0,1,1.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,trump,5.8,0,1,2.0
12009597,female,30-49,democrat,not_voting,VA,the Associated Press,clinton,14.2,1,1,2
25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,11.8,1,1,2
25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,14.1,1,1,2
25501853,female,30-49,republican,trump,KY,the Associated Press,sanders,8,0,0,0
25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,7.5,0,2,1
25501853,female,30-49,republican,trump,KY,the Associated Press,trump,11.7,1,-1,1
25501853,female,30-49,republican,trump,KY,the Associated Press,cruz,7.9,0,0,1.0
25501853,female,30-49,republican,trump,KY,the Associated Press,trump,5.8,0,1,2.0
25501853,female,30-49,republican,trump,KY,the Associated Press,clinton,14.2,1,2,1
